lab proto group dose1 dose2 body wet blot
Citijapan B  1  0.00  0.00    47.90    27.20    26.90
Citijapan B  1  0.00  0.00    53.30    39.50    37.60
Citijapan B  1  0.00  0.00    44.70    25.70    25.40
Citijapan B  1  0.00  0.00    57.90    34.40    33.60
Citijapan B  1  0.00  0.00    49.70    26.90    26.20
Citijapan B  2  0.00  0.00    56.30    37.60    36.40
Citijapan B  2  0.00  0.00    49.40    30.20    29.60
Citijapan B  2  0.00  0.00    49.00    29.80    27.90
Citijapan B  2  0.00  0.00    52.90    37.60    36.70
Citijapan B  2  0.00  0.00    56.80    28.80    28.30
Citijapan B  2  0.00  0.00    53.20    31.70    31.20
Citijapan B  3  0.01  0.00    52.00    28.60    28.10
Citijapan B  3  0.01  0.00    45.50    28.30    27.80
Citijapan B  3  0.01  0.00    53.90    35.90    34.60
Citijapan B  3  0.01  0.00    49.80    34.00    33.00
Citijapan B  3  0.01  0.00    53.10    30.20    29.70
Citijapan B  3  0.01  0.00    52.40    35.00    34.40
Citijapan B  4  0.03  0.00    55.20    30.30    29.20
Citijapan B  4  0.03  0.00    52.90    32.30    30.90
Citijapan B  4  0.03  0.00    50.40    27.10    25.80
Citijapan B  4  0.03  0.00    51.70    33.10    32.90
Citijapan B  4  0.03  0.00    51.90    32.40    32.20
Citijapan B  4  0.03  0.00    54.30    29.50    28.90
Citijapan B  5  0.10  0.00    49.00    34.70    34.40
Citijapan B  5  0.10  0.00    45.80    30.10    29.80
Citijapan B  5  0.10  0.00    50.30    40.10    38.50
Citijapan B  5  0.10  0.00    58.00    35.20    34.30
Citijapan B  5  0.10  0.00    54.80    32.40    31.10
Citijapan B  5  0.10  0.00    56.20    31.70    30.80
Citijapan B  6  0.30  0.00    53.70    45.70    43.80
Citijapan B  6  0.30  0.00    55.20    41.30    40.50
Citijapan B  6  0.30  0.00    47.80    44.40    44.00
Citijapan B  6  0.30  0.00    47.90    69.20    69.10
Citijapan B  6  0.30  0.00    56.50    63.00    62.80
Citijapan B  6  0.30  0.00    48.30    76.50    73.90
